1,2,3,2,0
1,4,5,7,0
1,6,7,3,0
1,8,9,3,0
1,10,11,1,0
1,12,13,9,0
1,14,15,6,0
1,0,0,3,1
1,0,0,2,1
1,0,0,1,1
1,0,0,10,1
1,0,0,10,1
1,0,0,3,1
1,0,0,6,1
1,0,0,10,1
2,2,3,6,0
2,4,5,3,0
2,6,7,4,0
2,8,9,2,0
2,10,11,2,0
2,12,13,9,0
2,14,15,5,0
2,0,0,6,1
2,0,0,10,1
2,0,0,10,1
2,0,0,6,1
2,0,0,4,1
2,0,0,10,1
2,0,0,10,1
2,0,0,10,1
3,2,3,6,0
3,4,5,1,0
3,6,7,9,0
3,8,9,9,0
3,10,11,4,0
3,12,13,2,0
3,14,15,4,0
3,0,0,10,1
3,0,0,10,1
3,0,0,10,1
3,0,0,10,1
3,0,0,10,1
3,0,0,9,1
3,0,0,10,1
3,0,0,10,1
4,2,3,8,0
4,4,5,3,0
4,6,7,9,0
4,8,9,5,0
4,10,11,7,0
4,12,13,2,0
4,14,15,4,0
4,0,0,5,1
4,0,0,8,1
4,0,0,7,1
4,0,0,10,1
4,0,0,10,1
4,0,0,10,1
4,0,0,4,1
4,0,0,10,1
5,2,3,8,0
5,4,5,4,0
5,6,7,9,0
5,8,9,9,0
5,10,11,9,0
5,12,13,3,0
5,14,15,3,0
5,0,0,10,1
5,0,0,8,1
5,0,0,8,1
5,0,0,10,1
5,0,0,3,1
5,0,0,9,1
5,0,0,10,1
5,0,0,10,1
6,2,3,5,0
6,4,5,3,0
6,6,7,8,0
6,8,9,2,0
6,10,11,6,0
6,12,13,1,0
6,14,15,2,0
6,0,0,5,1
6,0,0,5,1
6,0,0,10,1
6,0,0,5,1
6,0,0,1,1
6,0,0,8,1
6,0,0,10,1
6,0,0,10,1
7,2,3,3,0
7,4,5,2,0
7,6,7,9,0
7,8,9,5,0
7,10,11,4,0
7,12,13,5,0
7,14,15,4,0
7,0,0,5,1
7,0,0,10,1
7,0,0,4,1
7,0,0,3,1
7,0,0,9,1
7,0,0,9,1
7,0,0,4,1
7,0,0,10,1
8,2,3,8,0
8,4,5,6,0
8,6,7,7,0
8,8,9,1,0
8,10,11,4,0
8,12,13,3,0
8,14,15,1,0
8,0,0,10,1
8,0,0,6,1
8,0,0,8,1
8,0,0,8,1
8,0,0,7,1
8,0,0,10,1
8,0,0,10,1
8,0,0,10,1
9,2,3,8,0
9,4,5,4,0
9,6,7,6,0
9,8,9,2,0
9,10,11,5,0
9,12,13,2,0
9,14,15,5,0
9,0,0,8,1
9,0,0,8,1
9,0,0,5,1
9,0,0,8,1
9,0,0,2,1
9,0,0,10,1
9,0,0,5,1
9,0,0,10,1
10,2,3,4,0
10,4,5,9,0
10,6,7,9,0
